Time,Source,Location,ID,Username,Language,Favorite_count,Retweet_count,User_Followers_count,User_Statuses_Count,User_Friends_Count,Tweet
10/19/2022 4:59,Twitter for iPhone,Fanwar = bub,1.5826E+18,ArthaðŸ°,in,0,0,1435,57741,890,b'@molobeige Iyaa ayoo booster besok!!\xf0\x9f\xa5\xba'
10/19/2022 4:56,Twitter for Android,,1.5826E+18,M.alam,in,0,0,14,2321,65,b'@4nt1k0m @ChusnulCh__ Kl ini Pergub sebelumnya. Cukup 15 orang saja. https://t.co/Gea0UarCzo'
10/19/2022 4:56,Twitter for Android,â­â­â­â­â­,1.5826E+18,"Jasa Cari Responden Kuesioner, Buzzer & Desain",in,1,0,1724,815,14,b'#TestimoniHelpy\n#JasaBooster\n\nBooster yang diminta:  \n- 40 DM Instagram https://t.co/KwO8Fp7LXl'
10/19/2022 4:56,Twitter for Android,,1.5826E+18,M.alam,in,0,0,14,2321,65,b'@4nt1k0m @ChusnulCh__ Pergub Anis tentang TGUPP. Maksimalkan peraturan yg dibuat nya sendiri. https://t.co/1eF1M2ZmyX'
10/19/2022 4:55,Twitter Web App,,1.5826E+18,sebarberitacovid19,in,0,0,298,2380,1034,"b'virus covid-19 kembali bermutasi, segera lakukan vaksin lengkap + booster\n#EndemiCovid\n#IndonesiaSehatIndonesiaHebat\n#BeritaCovid\n@satrialakpur\n@bocahinfo\n@lebakkab\n@terkerenhub\n@diskominfolebak'"
10/19/2022 4:55,Twitter Web App,,1.5826E+18,sebarberitacovid19,in,11,0,298,2380,1034,"b'Animo vaksin booster kurang, satgas ingatkan perlindungan dari varian baru \n#EndemiCovid\n#IndonesiaSehatIndonesiaHebat\n#BeritaCovid\n@beritacovid\n@akusehatklinik\n@yakin_sehat\n@BKCJAMAN https://t.co/SqRTOH2jII'"
10/19/2022 4:51,Twitter for Android,,1.5826E+18,MbelingDotKom,in,2,1,207,1159,319,"b'@Aadec @WendyTangmar @HabibauBabi @SammiSoh Gue pernah pakai apk Jaki buat vaksin booster. Rumah gue di Lenteng Agung diarahkan ke PDAM Benhil, ya ogah laah.. \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
10/19/2022 4:50,Twitter for Android,"Bandung, Indonesia",1.58259E+18,Meaow!,in,0,0,434,17612,492,b'Mood booster banget di saat diri ini sedang mual2 \xf0\x9f\x98\xad\xf0\x9f\x98\xad'
10/19/2022 4:49,Twitter for Android,,1.58259E+18,Humas Polsek Wates,in,2,1,565,12912,513,b'Bhabinkamtibmas Kalurahan Kulwaru Aiptu Edi Asmoro bersama Babinsa Serka Edi Prayitno monitoring sekaligus  pengamanan vaksin massal bertempat di balai Kalurahan Kulwaru.Vaksin covid 19 Booster terselenggara atas kerjasama  Puskesmas Wates dengan Pemkal Kulwaru.(19/10/2022) https://t.co/DC4MEI5u23'
10/19/2022 4:48,Twitter for Android,Metropolis,1.58259E+18,Spider-Man stan,in,0,0,18,3425,134,"b'@BatfleckBeyond @BoosteR_Fettt @IndieWire MOS,BvS, JL\xf0\x9f\x98\x82'"
